"Site_ID","Site_Name","Town","Org_ID","Org_Name","SiteTypeID","WaterbodyID","Latitude_DD","Longitude_DD","Coordinate_Collection_Method","Datum","HUC8","HUC10","HUC12","WBID","WBID_Year","River_Mile_Headwaters","River_Mile_Mouth","River_Mile_Collection_Method","Site_Description","Site_Comment","Alternate_ID","Alternate_ID_Source"
"CC_13","Unnamed","Boston/Chelsea","CRWA","Charles River Watershed Association",1,6,"42.3838","-71.0295","Interpolation-Digital Map Srce (Tiger)","NAD83","01090001","0109000104","010900010404","","","N/A","TBD","TBD","Centerline","Centerline","Chelsea River @ Condor St. (CHR95S)","MyRWA Baseline"
"CC_14","Unnamed","Boston/Chelsea","CRWA","Charles River Watershed Association",1,6,"42.3842","-71.0294","Interpolation-Digital Map Srce (Tiger)","NAD83","01090001","0109000104","010900010404","","","N/A","TBD","TBD","Centerline","N/A","27","MWRA/CRWA"
"CC_20","","",,"",7,23,"","","","","","","","","","","","","","","",""
"CC_21","","",,"",7,23,"","","","","","","","","","","","","","","",""
"CC_22","","",,"",7,23,"","","","","","","","","","","","","","","",""
"CC_23","","",,"",7,23,"","","","","","","","","","","","","","","",""
"CC_24","","",,"",7,23,"","","","","","","","","","","","","","","",""
"CC_OUT10","Unnamed","Boston","CRWA","Charles River Watershed Association",4,6,"42.3823","-71.027","Interpolation-Digital Map Srce (Tiger)","NAD83","01090001","0109000104","010900010404","","","N/A","TBD","TBD","Outfall","Pipe owner: BWSC CSO.","BOS014/Bos014?","MyRWA/EPA"
"CC_OUT11","Unnamed","Boston","CRWA","Charles River Watershed Association",4,6,"42.3823","-71.027","Interpolation-Digital Map Srce (Tiger)","NAD83","01090001","0109000104","010900010404","","","N/A","TBD","TBD","Outfall","Pipe owner BWSC CSO - ""seep inflow"".","BOS014E/CC_11","MyRWA/CRWA"
"CC_OUT12","Unnamed","Boston","CRWA","Charles River Watershed Association",3,6,"42.383","-71.0288","Interpolation-Digital Map Srce (Tiger)","NAD83","01090001","0109000104","010900010404","","","N/A","TBD","TBD","Outfall","Pipe owner unknown - possibly BWSC storm drain.","29MO32","MyRWA"
"CC_OUT14A","Unnamed","Chelsea","CRWA","Charles River Watershed Association",6,6,"42.3829","-71.0301","Interpolation-Digital Map Srce (Tiger)","NAD83","01090001","0109000104","010900010404","","","N/A","TBD","TBD","Outfall","Pipe owner unknown. New coordinates needed.","CHEx28","MyRWA"
"CC_OUT15","Unnamed","Boston","CRWA","Charles River Watershed Association",6,6,"42.3829","-71.0301","Interpolation-Digital Map Srce (Tiger)","NAD83","01090001","0109000104","010900010404","","","N/A","TBD","TBD","Outfall","Pipe owner unknown - possibly BWSC storm drain.","29MO49/Con","MyRWA/EPA"
"CC_OUT16","Unnamed","Boston","CRWA","Charles River Watershed Association",6,6,"42.3836","-71.0335","Interpolation-Digital Map Srce (Tiger)","NAD83","01090001","0109000104","010900010404","","","N/A","TBD","TBD","Outfall","Pipe owner unknown - possibly BWSC storm drain.","29MO41","MyRWA"
"CC_OUT2","Unnamed","Chelsea","CRWA","Charles River Watershed Association",6,6,"42.3977","-71.0169","Interpolation-Digital Map Srce (Tiger)","NAD83","01090001","0109000104","010900010404","","","N/A","TBD","TBD","Outfall","Pipe owner unknown. Holding tank outfall.","CHEx20","MyRWA"
"CC_OUT3","Unnamed","Revere","CRWA","Charles River Watershed Association",6,6,"42.396","-71.0117","Interpolation-Digital Map Srce (Tiger)","NAD83","01090001","0109000104","010900010404","","","N/A","TBD","TBD","Outfall","Not a pipe?","BOSx15","MyRWA"
"CC_OUT4","Unnamed","Chelsea","CRWA","Charles River Watershed Association",4,6,"42.3947","-71.0191","Interpolation-Digital Map Srce (Tiger)","NAD83","01090001","0109000104","010900010404","","","N/A","TBD","TBD","Outfall","Pipe owner: City of Chelsea","CHE008/Chelsea14 - CHE-008 Outfall/CH14_OUT","MyRWA/City of Chelsea/CRWA"
"CC_OUT5","Unnamed","Boston","CRWA","Charles River Watershed Association",6,6,"42.3912","-71.0155","Interpolation-Digital Map Srce (Tiger)","NAD83","01090001","0109000104","010900010404","","","N/A","TBD","TBD","Outfall","Pipe owner unknown.","BOSx12","MyRWA"
"CC_OUT6","Unnamed","Boston","CRWA","Charles River Watershed Association",6,6,"42.3911","-71.0156","Interpolation-Digital Map Srce (Tiger)","NAD83","01090001","0109000104","010900010404","","","N/A","TBD","TBD","Outfall","Pipe owner unknown.","BOSx11","MyRWA"
"CC_OUT7","Unnamed","Chelsea","CRWA","Charles River Watershed Association",3,6,"42.3906","-71.0207","Interpolation-Digital Map Srce (Tiger)","NAD83","01090001","0109000104","010900010404","","","N/A","TBD","TBD","Outfall","Pipe owner: City of Chelsea","CHEx03/Chelsea15 - Griffin Way/CH15_OUT","MyRWA/City of Chelsea/CRWA"
"CC_OUT8","Unnamed","Boston","CRWA","Charles River Watershed Association",6,6,"42.3891","-71.0173","Interpolation-Digital Map Srce (Tiger)","NAD83","01090001","0109000104","010900010404","","","N/A","TBD","TBD","Outfall","Pipe owner unknown.","BOSx10","MyRWA"
"CC_OUT9","Unnamed","Boston","CRWA","Charles River Watershed Association",6,6,"42.389","-71.0173","Interpolation-Digital Map Srce (Tiger)","NAD83","01090001","0109000104","010900010404","","","N/A","TBD","TBD","Outfall","Pipe owner unknown.","BOSx09","MyRWA"
"CC_TANK1","Unnamed","Chelsea","CRWA","Charles River Watershed Association",6,6,"42.3978","-71.0173","Interpolation-Digital Map Srce (Tiger)","NAD83","01090001","0109000104","010900010404","","","N/A","TBD","TBD","Outfall","Pipe owner Unknown. Holding tank.","CHEx22","MyRWA"
"CH1_OUT","Unnamed","Revere","CRWA","Charles River Watershed Association",3,6,"42.4102","-71.0288","Interpolation-Digital Map Srce (Tiger)","NAD83","01090001","0109000104","010900010404","","","N/A","TBD","TBD","Outfall","Pipe owner: City of Chelsea","Chelsea01- Fenno/Columbus NE/CH1","City of Chelsea/CRWA"
"CH12_OUT","Unnamed","Chelsea","CRWA","Charles River Watershed Association",3,6,"42.4024","-71.017","Interpolation-Digital Map Srce (Tiger)","NAD83","01090001","0109000104","010900010404","","","N/A","TBD","TBD","Outfall","Pipe owner: City of Chelsea","Chelsea12 - Washburn St. (near Irish Club)/CH12","City of Chelsea/CRWA"
"CH16_OUT","Unnamed","Chelsea","CRWA","Charles River Watershed Association",3,6,"42.3869","-71.0229","Interpolation-Digital Map Srce (Tiger)","NAD83","01090001","0109000104","010900010404","","","N/A","TBD","TBD","Outfall","Pipe owner: City of Chelsea","Chelsea16 - Eastern Ave. & Central St. /CH16","City of Chelsea/CRWA"
"CH17_OUT","Unnamed","Chelsea","CRWA","Charles River Watershed Association",3,6,"42.3863","-71.0235","Interpolation-Digital Map Srce (Tiger)","NAD83","01090001","0109000104","010900010404","","","N/A","TBD","TBD","Outfall","Pipe owner: City of Chelsea","Chelsea17 - Marginal St & Eastern Ave./CH17","City of Chelsea/CRWA"
"CH18_OUT","Unnamed","Chelsea","CRWA","Charles River Watershed Association",3,6,"42.386","-71.0313","Interpolation-Digital Map Srce (Tiger)","NAD83","01090001","0109000104","010900010404","","","N/A","TBD","TBD","Outfall","Pipe owner: City of Chelsea","Chelsea18 - Highland St./CH18","City of Chelsea/CRWA"
"CH19_OUT","Unnamed","Chelsea","CRWA","Charles River Watershed Association",4,6,"42.3868","-71.0409","Interpolation-Digital Map Srce (Tiger)","NAD83","01090001","0109000104","010900010404","","","N/A","TBD","TBD","Outfall","Pipe owner: City of Chelsea","Winnisimmet St./CH19","City of Chelsea/CRWA"
"CH2_OUT","Unnamed","Revere","CRWA","Charles River Watershed Association",3,6,"42.4102","-71.0288","Interpolation-Digital Map Srce (Tiger)","NAD83","01090001","0109000104","010900010404","","","N/A","TBD","TBD","Outfall","Pipe owner: City of Chelsea","Chelsea02 - Fenno/Columbus SW/CH2","City of Chelsea/CRWA"
"CH3_OUT","Unnamed","Revere","CRWA","Charles River Watershed Association",3,6,"42.4101","-71.0288","Interpolation-Digital Map Srce (Tiger)","NAD83","01090001","0109000104","010900010404","","","N/A","TBD","TBD","Outfall","Pipe owner: City of Chelsea","Chelsea03 - Fenno/Columbus 8 - inch/CH3","City of Chelsea/CRWA"
"CH5_OUT","Unnamed","Revere","CRWA","Charles River Watershed Association",3,6,"42.4071","-71.027","Interpolation-Digital Map Srce (Tiger)","NAD83","01090001","0109000104","010900010404","","","N/A","TBD","TBD","Outfall","Pipe owner: City of Chelsea","Chelsea05 - Route 1 ramp/CH5","City of Chelsea/CRWA"
"CH8_OUT","Unnamed","Chelsea","CRWA","Charles River Watershed Association",3,6,"42.4051","-71.0253","Interpolation-Digital Map Srce (Tiger)","NAD83","01090001","0109000104","010900010404","","","N/A","TBD","TBD","Outfall","Pipe owner: City of Chelsea","CHEx08/Chelsea08 - Locke St. (12"")/CH8","MyRWA/City of Chelsea/CRWA"
"CHE_OUT1","Watertown St. bridge stormdrain","Newton","CRWA","Charles River Watershed Association",6,5,"42.35416","-71.21388","GPS- Unspecified","NAD83","01090001","0109000107","010900010703","","","","","","Stormdrain with underdrain inputs, US side of Watertown St. bridge. Sampled in wet weather only.","wading or pole","",""
"CHE1A","Brae Burn Country Club golf course - Brook East Branch.","Newton","CRWA","Charles River Watershed Association",1,5,"42.3375","-71.235","GPS- Unspecified","NAD83","01090001","0109000107","010900010703","","","","","","Brook sample collected in Brae Burn Country Club golf course - Brook East Branch.","wading or pole","",""
"CHE1B","Brae Burn Country Club golf course - Brook West Branch.","Newton","CRWA","Charles River Watershed Association",1,5,"42.3375","-71.23472","GPS- Unspecified","NAD83","01090001","0109000107","010900010703","","","","","","Brook sample collected in Brae Burn Country Club golf course - Brook West Branch.","wading or pole","",""
"CHE2","Brae Burn Country Club golf course- below the confluence of the two branches of the Brook, collected DS of the bridge.","Newton","CRWA","Charles River Watershed Association",1,5,"42.3375","-71.235","GPS- Unspecified","NAD83","01090001","0109000107","010900010703","","","","","","Brook sample collected in Brae Burn Country Club golf course- below the confluence of the two branches of the Brook, collected DS of the bridge.","wading or pole","",""
"CHE3","Cheesecake Brook Watertown St.","Newton","CRWA","Charles River Watershed Association",1,5,"42.35027","-71.22388","GPS- Unspecified","NAD83","01090001","0109000107","010900010703","","","","","","Brook sample collected where Cheesecake Brook emerges above ground, off  Watertown St.","wading or pole","",""
"CHE4A","LB Eddy St and Ablemarle Road.","Newton","CRWA","Charles River Watershed Association",1,5,"42.35194","-71.21694","GPS- Unspecified","NAD83","01090001","0109000107","010900010703","","","","","","Brook sample, collected from main channel, DS of riffles near LB Eddy St and Ablemarle Road.","wading or pole","",""
"CHE4B","Second box culvert","Newton","CRWA","Charles River Watershed Association",3,5,"42.35166","-71.21666","GPS- Unspecified","NAD83","01090001","0109000107","010900010703","","","","","","Outfall sample, collected from second box culvert, by RB of channel. ","wading or pole","",""
"CHE5","Rt 16 and Ablemarle Rd. ","Newton","CRWA","Charles River Watershed Association",1,5,"42.35388","-71.21361","GPS- Unspecified","NAD83","01090001","0109000107","010900010703","","","","","","At intersection of Rt 16 and Ablemarle Rd. Collect sample from DS side of bridge. ","wading or pole","",""
"CHE6","NEW-68 sign","Newton","CRWA","Charles River Watershed Association",1,5,"42.36416","-71.21361","GPS- Unspecified","NAD83","01090001","0109000107","010900010703","","","","","","Brook sample, collected by NEW-68 sign, along Ablemarle Rd.","wading or pole","",""
"CHE7","DS Cheesecake mouth","Newton","CRWA","Charles River Watershed Association",1,5,"42.36472","-71.21305","GPS- Unspecified","NAD83","01090001","0109000107","010900010704","","","","","","Charles River sample collected DS of mouth of brook.","cage from bridge, or pole from bank","",""
"Chicken ","Chicken Brook","Medway","CRWA","Charles River Watershed Association",1,7,"42.1408","-71.4233","GPS- Unspecified","NAD83","01090001","0109000106","010900010602","","","15.9","63","","Square bridge culvert and riffle DS","","",""
"COL1","Duck pond area foot bridge ","Wellesley ","CRWA","Charles River Watershed Association",1,8,"42.2975","-71.29","GPS- Unspecified","NAD83","01090001","0109000107","010900010704","","","","","","Brook sample, collected at US side of foot bridge in the duck pond area, manual grab taken standing on small dam structure US  ","pole, basket or grab","",""
"Community_Boating","Community Boating","Boston","CRWA","Charles River Watershed Association",1,4,,,,,,,,,,,,,"Site name from 1998 flagging data",,,
"Community_Rowing","Community Rowing","Newton","CRWA","Charles River Watershed Association",1,4,,,,,,,,,,,,,"Site name from 1998 flagging data",,,
"CRI_Pipe1","","",,"",5,23,"","","","","","","","","","","","","","","",""
"D1WS7","Newton outfall: New-81","Newton","CRWA","Charles River Watershed Association",6,4,"42.36000","-71.18090","GPS- Unspecified","NAD83","01090001","0109000107","010900010704","","","","","","Large culvert with booms placed in front ","","",""
"D2W8","Greenough Blvd, US NB ","Watertown","CRWA","Charles River Watershed Association",6,4,"42.36029","-71.15689","GPS- Unspecified","NAD83","01090001","0109000107","010900010704","","","","","","Metal pipe in cement casing, set back from river","","",""
"D2W9","Greenough Blvd. NB ","Watertown","CRWA","Charles River Watershed Association",6,4,"42.36069","-71.15360","GPS- Unspecified","NAD83","01090001","0109000107","010900010704","","","","","","Cement pipe, 24-30""","","",""
"D3WN6","Weeks pedestrian bridge DS NB","Cambridge","CRWA","Charles River Watershed Association",6,4,"42.36869","-71.1175","GPS- Unspecified","NAD83","01090001","0109000107","010900010704","","","","","","Large culvert","","",""
"FUL1","Dover Street bridge ","Wellesley ","CRWA","Charles River Watershed Association",1,8,"42.286","-71.2939","GPS- Unspecified","NAD83","01090001","0109000107","010900010704","","","","","","Brook sample, collected on US side of Dover Street bridge ","basket or grab","",""
"FUL1B","Grove Street bridge ","Wellesley ","CRWA","Charles River Watershed Association",1,8,"42.2934","-71.2911","GPS- Unspecified","NAD83","01090001","0109000107","010900010704","","","","","","Brook sample, collected at US side of Grove Street bridge ","pole or grab","",""
"FUL1c","Rt-135 road bridge ","Wellesley ","CRWA","Charles River Watershed Association",1,8,"42.2975","-71.2863","GPS- Unspecified","NAD83","01090001","0109000107","010900010704","","","","","","Brook sample, collected at US side of Rt-135 road bridge ","pole or grab","",""
"FUL2B","Traffic circle","Wellesley ","CRWA","Charles River Watershed Association",1,8,"42.2988","-71.2801","GPS- Unspecified","NAD83","01090001","0109000107","010900010704","","","","","","Brook sample, collected on US side of traffic circle, by ranch style house","grab","",""
"FUL3","Brook Street road bridge, off of Rt-135 ","Wellesley ","CRWA","Charles River Watershed Association",1,8,"42.2946","-71.2756","GPS- Unspecified","NAD83","01090001","0109000107","010900010704","","","","","","Brook sample, collected at US side of Brook Street road bridge, off of Rt-135 ","pole or basket","",""
"FUL4","Rt-135 road bridge culvert ","Wellesley ","CRWA","Charles River Watershed Association",1,8,"42.2904","-71.2689","GPS- Unspecified","NAD83","01090001","0109000107","010900010704","","","","","","Brook sample, collected directly in front of culvert on US side of Rt-135 road bridge ","pole or grab","",""
"Fuller ","Fuller Brook","Wellesley","CRWA","Charles River Watershed Association",1,8,"42.2862","-71.2938","GPS- Unspecified","NAD83","01090001","0109000107","010900010701","","","39.3","39.6","","Square bridge culvert and grassed waterway DS","","",""
"HAR","Harvard Bridge-Center","Cambridge ","CRWA","Charles River Watershed Association",1,4,"42.35463","-71.09138","GPS- Unspecified","NAD83","01090001","0109000107","010900010704","","","","","","Harvard Bridge Center.","","",""
"HAV1","Havey Beach","Boston","CRWA","Charles River Watershed Association",1,4,"42.27433","-71.17455","GPS- Unspecified","NAD83","01090001","0109000107","010900010703","","","","","","","","",""
"Hopping ","Hopping Brook","Bellingham","CRWA","Charles River Watershed Association",1,11,"42.1345","-71.4458","GPS- Unspecified","NAD83","01090001","0109000106","010900010601","","","14.8","64.1","","Square/half round bridge culvert and riffle DS","","",""
"HP","Herter Park-Dock","Allston","CRWA","Charles River Watershed Association",1,4,"42.36912","-71.13141","GPS- Unspecified","NAD83","01090001","0109000107","010900010704","","","","","","Charles River Canoe and Kayak at Herter Park - doc","","",""
"LG","Esplanade Lagoon","Boston","CRWA","Charles River Watershed Association",1,4,"42.35435","-71.08116","GPS- Unspecified","NAD83","01090001","0109000107","010900010704","","","","","","Esplanade Lagoon last bridge.","","",""
"MB","Magazine Beach","Cambridge","CRWA","Charles River Watershed Association",1,4,"42.35464","-71.11474","GPS- Unspecified","NAD83","01090001","0109000107","010900010704","","","","","","Magazine Beach small acess area. ","","",""
"MC_1","Unnamed","Revere","CRWA","Charles River Watershed Association",1,6,"42.4101","-71.0288","Interpolation-Digital Map Srce (Tiger)","NAD83","01090001","0109000104","010900010404","","","N/A","TBD","TBD","Headwaters of Mill Creek daylit region","Headwaters of Mill Creek daylit region","Mill 4","EPA"
"MC_11","Unnamed","Chelsea/Revere","CRWA","Charles River Watershed Association",1,6,"42.405","-71.0268","Interpolation-Digital Map Srce (Tiger)","NAD83","01090001","0109000104","010900010404","","","N/A","TBD","TBD","Culvert exit","Culvert exit","CHEx10","MyRWA"
"MC_14","Unnamed","Chelsea/Revere","CRWA","Charles River Watershed Association",1,6,"42.4057","-71.0244","Interpolation-Digital Map Srce (Tiger)","NAD83","01090001","0109000104","010900010404","","","N/A","TBD","TBD","Centerline","Centerline","MIC010","MyRWA"
"MC_14A","Unnamed","Chelsea/Revere","CRWA","Charles River Watershed Association",1,6,"42.4055","-71.0241","Interpolation-Digital Map Srce (Tiger)","NAD83","01090001","0109000104","010900010404","","","N/A","TBD","TBD","Centerline","Centerline","",""
"MC_16","Unnamed","Chelsea/Revere","CRWA","Charles River Watershed Association",1,6,"42.4052","-71.0218","Interpolation-Digital Map Srce (Tiger)","NAD83","01090001","0109000104","010900010404","","","N/A","TBD","TBD","Center channel","Center channel","MIC007","MyRWA"
"MC_20","Unnamed","Chelsea/Revere","CRWA","Charles River Watershed Association",1,6,"42.4033","-71.018","Interpolation-Digital Map Srce (Tiger)","NAD83","01090001","0109000104","010900010404","","","N/A","TBD","TBD","Centerline","Centerline","Mill Creek @ Broadway Bridge (MIC004)","MyRWA Baseline"
"MC_22","Unnamed","Chelsea/Revere","CRWA","Charles River Watershed Association",1,6,"42.4033","-71.0179","Interpolation-Digital Map Srce (Tiger)","NAD83","01090001","0109000104","010900010404","","","N/A","TBD","TBD","Center channel","Center channel","Mill","EPA/CRWA"
"MC_24","Unnamed","Chelsea/Revere","CRWA","Charles River Watershed Association",1,6,"42.4028","-71.0129","Interpolation-Digital Map Srce (Tiger)","NAD83","01090001","0109000104","010900010404","","","N/A","TBD","TBD","Centerline at Slades Mill","Centerline at Slades Mill","MIC001","MyRWA"
"MC_4","Unnamed","Chelsea/Revere","CRWA","Charles River Watershed Association",1,6,"42.4097","-71.0283","Interpolation-Digital Map Srce (Tiger)","NAD83","01090001","0109000104","010900010404","","","N/A","TBD","TBD","Channel near outflow of Chelsea culvert","Channel near outflow of Chelsea culvert","MIC014","MyRWA"
"MC_6","Unnamed","Chelsea/Revere","CRWA","Charles River Watershed Association",1,6,"42.4082","-71.027","Interpolation-Digital Map Srce (Tiger)","NAD83","01090001","0109000104","010900010404","","","N/A","TBD","TBD","Center channel","Center channel","MIC013","MyRWA"
"MC_9","Unnamed","Chelsea/Revere","CRWA","Charles River Watershed Association",1,6,"42.4066","-71.0269","Interpolation-Digital Map Srce (Tiger)","NAD83","01090001","0109000104","010900010404","","","N/A","TBD","TBD","Centerline","Centerline","MIC011","MyRWA"
"MC_OUT10","Unnamed","Chelsea","CRWA","Charles River Watershed Association",3,6,"42.4046","-71.0288","Interpolation-Digital Map Srce (Tiger)","NAD83","01090001","0109000104","010900010404","","","N/A","TBD","TBD","Outfall","Pipe owner: City of Chelsea","CHEx023/Webster @ RBP/CH6_OUT","MyRWA/City of Chelsea/CRWA"
"MC_OUT12","Unnamed","Chelsea","CRWA","Charles River Watershed Association",3,6,"42.4051","-71.0253","Interpolation-Digital Map Srce (Tiger)","NAD83","01090001","0109000104","010900010404","","","N/A","TBD","TBD","Outfall","Pipe owner: City of Chelsea","CHEx18/Chelsea07 - Locke St. (24"")/CH7_OUT","MyRWA/City of Chelsea/CRWA"
"MC_OUT13","Unnamed","Chelsea","CRWA","Charles River Watershed Association",6,6,"42.4054","-71.0246","Interpolation-Digital Map Srce (Tiger)","NAD83","01090001","0109000104","010900010404","","","N/A","TBD","TBD","Outfall","Pipe owner: unknown","MICB10","MyRWA"
"MC_OUT15","Unnamed","Chelsea","CRWA","Charles River Watershed Association",6,6,"42.4053","-71.0238","Interpolation-Digital Map Srce (Tiger)","NAD83","01090001","0109000104","010900010404","","","N/A","TBD","TBD","Outfall","Pipe owner unknown - likely Parkway Plaza outfall","CHEx29","MyRWA"
"MC_OUT17","Unnamed","Revere","CRWA","Charles River Watershed Association",6,6,"42.4041","-71.0213","Interpolation-Digital Map Srce (Tiger)","NAD83","01090001","0109000104","010900010404","","","N/A","TBD","TBD","Outfall","Pipe owner unknown.","CHEx06","MyRWA"
"MC_OUT17A","Unnamed","Revere","CRWA","Charles River Watershed Association",3,6,"42.4039","-71.0212","Interpolation-Digital Map Srce (Tiger)","NAD83","01090001","0109000104","010900010404","","","N/A","TBD","TBD","Outfall","Pipe owner: Parkway Common","EPA ID is unknown/MC_17A","EPA/CRWA"
"MC_OUT18","Unnamed","Chelsea","CRWA","Charles River Watershed Association",3,6,"42.4035","-71.0206","Interpolation-Digital Map Srce (Tiger)","NAD83","01090001","0109000104","010900010404","","","N/A","TBD","TBD","Outfall","Pipe owner: City of Chelsea","Mill2/Gilooly/CH9_OUT","EPA/City of Chelsea/CRWA"
"MC_OUT19","Unnamed","Chelsea","CRWA","Charles River Watershed Association",3,6,"42.4034","-71.0196","Interpolation-Digital Map Srce (Tiger)","NAD83","01090001","0109000104","010900010404","","","N/A","TBD","TBD","Outfall","Pipe owner: City of Chelsea","CHEx05/Chelsea10 - Clark Ave/CH10_OUT","MyRWA/City of Chelsea/CRWA"
"MC_OUT2","Unnamed","Revere","CRWA","Charles River Watershed Association",3,6,"42.41","-71.0287","Interpolation-Digital Map Srce (Tiger)","NAD83","01090001","0109000104","010900010404","","","N/A","TBD","TBD","Outfall","Pipe owner: MassHighway","REVx007","MyRWA"
"MC_OUT21","Unnamed","Chelsea","CRWA","Charles River Watershed Association",3,6,"42.4032","-71.0181","Interpolation-Digital Map Srce (Tiger)","NAD83","01090001","0109000104","010900010404","","","N/A","TBD","TBD","Outfall","Pipe owner: City of Chelsea","CHEx19/Mill1/Chelsea11 - Broadway @ Mill Creek/CH1","MyRWA/EPA/City of Chelsea/CRWA"
"MC_OUT23","Unnamed","Revere","CRWA","Charles River Watershed Association",3,6,"42.4033","-71.0179","Interpolation-Digital Map Srce (Tiger)","NAD83","01090001","0109000104","010900010404","","","N/A","TBD","TBD","Outfall","Pipe owner: Revere","Mill1A","EPA"
"MC_OUT25","Unnamed","Chelsea","CRWA","Charles River Watershed Association",3,6,"42.4019","-71.0123","Interpolation-Digital Map Srce (Tiger)","NAD83","01090001","0109000104","010900010404","","","N/A","TBD","TBD","Outfall","Pipe owner: City of Chelsea","CHEx27/Chelsea13 - Crescent Ave./CH13_OUT","MyRWA/City of Chelsea/CRWA"
"MC_OUT26","Unnamed","Revere","CRWA","Charles River Watershed Association",6,6,"42.4025","-71.0107","Interpolation-Digital Map Srce (Tiger)","NAD83","01090001","0109000104","010900010404","","","N/A","TBD","TBD","Outfall","Pipe owner unknown. PVC pipe.","Hadd","EPA"
"MC_OUT3","Unnamed","Revere","CRWA","Charles River Watershed Association",3,6,"42.4099","-71.0283","Interpolation-Digital Map Srce (Tiger)","NAD83","01090001","0109000104","010900010404","","","N/A","TBD","TBD","Outfall","Pipe owner: Revere","REVx006/REV06","MyRWA/EPA"
"MC_OUT5","Unnamed","Revere","CRWA","Charles River Watershed Association",3,6,"42.4095","-71.0279","Interpolation-Digital Map Srce (Tiger)","NAD83","01090001","0109000104","010900010404","","","N/A","TBD","TBD","Outfall","Pipe owner: MassHighway","REVx10","MyRWA"
"MC_OUT7","Unnamed","Revere","CRWA","Charles River Watershed Association",3,6,"42.4081","-71.027","Interpolation-Digital Map Srce (Tiger)","NAD83","01090001","0109000104","010900010404","","","N/A","TBD","TBD","Outfall","Pipe owner: MassHighway","REVx14/Mill3?","MyRWA/EPA"
"MC_OUT8","Unnamed","Revere","CRWA","Charles River Watershed Association",3,6,"42.408","-71.0271","Interpolation-Digital Map Srce (Tiger)","NAD83","01090001","0109000104","010900010404","","","N/A","TBD","TBD","Outfall","Pipe owner: City of Chelsea","CHEx30/Mill3A?/Chelsea04 -Guam Rd. ","MyRWA/EPA/City of Chelsea/CH4_OUT"
"Mill ","Mill River","Norfolk","CRWA","Charles River Watershed Association",1,12,"42.1317","-71.3629","GPS- Unspecified","NAD83","01090001","0109000106","010900010602","","","21.3","57.6","","Square bridge culvert and riffle DS","","",""
"Mine ","Mine Brook","Franklin","CRWA","Charles River Watershed Association",1,14,"42.1246","-71.4305","GPS- Unspecified","NAD83","01090001","0109000106","010900010601","","","15.7","63.2","","Three round pipe culverts and riffle DS","","",""
"MIR001","US old coffer dam location","Boston","CRWA","Charles River Watershed Association",1,13,"42.3698","-71.0651","GPS- Unspecified","NAD83","01090001","0109000107","010900010704","","","","","","Millers River, center channel, just upstream of old coffer dam location","","",""
"MIR005","Candyland roadway outcropping","Boston","CRWA","Charles River Watershed Association",1,13,"42.371","-71.0661","GPS- Unspecified","NAD83","01090001","0109000107","010900010704","","","","","","Millers River, center channel, at two pillars, perpendicular to start of candyland roadway outcropping","","",""
"MIRTOP","Grated outfall","Boston","CRWA","Charles River Watershed Association",3,13,"42.3717","-71.0671","GPS- Unspecified","NAD83","01090001","0109000107","010900010704","","","","","","Millers River, center channel, just upstream of pillar, at grated outfall","","",""
"MRDIS","Downstream of second boom","Boston","CRWA","Charles River Watershed Association",1,13,"42.3691","-71.0643","GPS- Unspecified","NAD83","01090001","0109000107","010900010704","","","","","","Charles River, center channel (referenced to MBTA rrx), at discharge point of Millers River downstream of second boom","","",""
"MRDOWN","Under center of Zakim Bridge","Boston","CRWA","Charles River Watershed Association",1,13,"42.3692","-71.0637","GPS- Unspecified","NAD83","01090001","0109000107","010900010704","","","","","","Charles River, center channel referenced to MBTA rrx, under center of Zakim Bridge","","",""
"MS1","Moody St. bridge US","Waltham","CRWA","Charles River Watershed Association",1,4,"42.37289","-71.237","GPS- Unspecified","NAD83","01090001","0109000107","010900010703","","","","","","River sample, sample collected from RB US of Moody St. bridge","","",""
"MUD10","Leverett Pond outfall pipe 70 Jamaicaway","Boston/Brookline ","CRWA","Charles River Watershed Association",3,16,"42.3298","-71.1126","GPS- Unspecified","NAD83","01090001","0109000107","010900010704","","","","","","Outfall pipe into south side of Leverett Pond across from 70 Jamaicaway.","Grab","",""
"MUD12L","Leverett Pond, Village Brook drain L","Boston/Brighton","CRWA","Charles River Watershed Association",1,16,"42.3303","-71.1139","GPS- Unspecified","NAD83","01090001","0109000107","010900010704","","","","","","Leverett Pond, Village Brook drain, MUD12L is left drain as you are looking at the lake","","",""
"MUD12R","Leverett Pond, Village Brook drain R","Boston/Brighton","CRWA","Charles River Watershed Association",1,16,"42.3303","-71.1139","GPS- Unspecified","NAD83","01090001","0109000107","010900010704","","","","","","Leverett Pond, Village Brook drain","","",""
"MUD13","US of culvert leading out of Leverett Pond","Boston/Brighton","CRWA","Charles River Watershed Association",1,16,"42.3306","-71.1136","GPS- Unspecified","NAD83","01090001","0109000107","010900010704","","","","","","US of culvert leading out of Leverett Pond","","",""
"MUD14","River Road bridge US","Boston/Brighton","CRWA","Charles River Watershed Association",1,16,"42.33536","-71.11007","GPS- Unspecified","NAD83","01090001","0109000107","010900010704","","","","","","US side of River Road bridge - if possible","","",""
"MUD15","Brookline Ave. bridge US","Boston/Brighton","CRWA","Charles River Watershed Association",1,16,"42.3355","-71.1106","GPS- Unspecified","NAD83","01090001","0109000107","010900010704","","","","","","US side of Brookline Ave. bridge - definite","","",""
